,0
ev,18.510742344680505
energi,10.196732154353775
reduc,9.503612636809915
emiss,9.167080365765331
transport,8.830548094720747
electr,8.813917139465635
vehicl,6.964457085948816
lower,6.2879685236600675
cost,6.2879685236600675
sustain,5.7748546394656355
effici,5.258316735071624
offer,5.258316735071624
travel,4.5852521929824555
improv,4.245295901738291
mainten,4.245295901738291
integr,4.245295901738291
oper,3.9087636306937066
technolog,3.9087636306937066
use,3.7321820175438596
public,3.7321820175438596
environment,3.7321820175438596
grid,3.5688073394495414
quieter,3.392225726299694
fuel,3.2322750684049573
significantli,3.2322750684049573
futur,3.2322750684049573
qualiti,3.0556934552551103
air,3.0556934552551103
renew,3.0556934552551103
energyeffici,3.0556934552551103
nois,3.0556934552551103
tailpip,3.0556934552551103
pollut,3.0556934552551103
move,3.0556934552551103
f,3.0556934552551103
ga,3.0556934552551103
zero,3.0556934552551103
greenhous,3.0556934552551103
includ,2.719161184210526
longdist,2.719161184210526
support,2.719161184210526
charger,2.719161184210526
charg,2.719161184210526
commut,2.719161184210526
smart,2.379204892966361
even,2.379204892966361
mode,2.202623279816514
sourc,2.202623279816514
cleaner,2.202623279816514
part,2.042672621921777
produc,2.042672621921777
handl,2.042672621921777
benefit,2.042672621921777
advanc,2.042672621921777
allow,2.042672621921777
applic,2.042672621921777
fewer,2.042672621921777
make,2.0260416666666665
autonom,1.8660910087719298
need,1.8660910087719298
infrastructur,1.8660910087719298
modern,1.8660910087719298
freight,1.8660910087719298
buse,1.8660910087719298
urban,1.8660910087719298
vehicletogrid,1.8660910087719298
shuttl,1.8660910087719298
truck,1.8660910087719298
good,1.8660910087719298
econom,1.8660910087719298
govern,1.8660910087719298
option,1.8660910087719298
solut,1.8660910087719298
intern,1.8660910087719298
logist,1.8660910087719298
motion,1.8660910087719298
person,1.8660910087719298
mobil,1.8660910087719298
replac,1.8660910087719298
deliveri,1.8660910087719298
provid,1.8660910087719298
servic,1.8660910087719298
combust,1.8660910087719298
van,1.8660910087719298
especi,1.8660910087719298
ensur,1.8660910087719298
cheaper,1.8660910087719298
peopl,1.8660910087719298
engin,1.8660910087719298
convert,1.8660910087719298
home,1.8660910087719298
commerci,1.8660910087719298
station,1.8660910087719298
incent,1.8660910087719298
fossil,1.1896024464831805
pave,1.1896024464831805
innov,1.1896024464831805
store,1.1896024464831805
gasolinepow,1.1896024464831805
interconnect,1.1896024464831805
