,0
ev,23.049713219240406
emiss,18.08570085719985
energi,14.315059883757469
vehicl,12.914629780931744
electr,7.950617418891188
reduc,7.8766337212638575
pollut,6.420323041652207
climat,5.692167701846381
environment,5.393022169150096
fossil,4.964012362040556
fuel,4.964012362040556
significantli,4.964012362040556
lower,4.890028664413226
chang,4.890028664413226
contribut,4.890028664413226
harm,4.890028664413226
sustain,4.590883131716941
transport,4.590883131716941
reduct,4.235857022234731
higher,4.1618733246074004
zero,4.1618733246074004
particul,4.1618733246074004
gasolinepow,4.1618733246074004
qualiti,4.1618733246074004
improv,4.1618733246074004
nitrogen,4.1618733246074004
batteri,4.1618733246074004
oxid,4.1618733246074004
tailpip,4.1618733246074004
air,4.1618733246074004
f,4.1618733246074004
overal,4.087889626980071
carbon,3.7887440942837856
impact,3.433717984801576
relianc,3.433717984801576
elimin,3.433717984801576
produc,3.3597342871742457
tradit,3.3597342871742457
releas,3.3597342871742457
atmospher,3.3597342871742457
even,3.06058875447796
role,3.06058875447796
product,3.06058875447796
percentag,2.631578947368421
inher,2.631578947368421
demand,2.631578947368421
therebi,2.631578947368421
consumpt,2.631578947368421
firstli,2.631578947368421
mitig,2.631578947368421
motion,2.631578947368421
decreas,2.631578947368421
convert,2.631578947368421
energyeffici,2.631578947368421
save,2.631578947368421
secondli,2.631578947368421
translat,2.631578947368421
public,2.3324334146721353
greenhous,2.3324334146721353
includ,2.3324334146721353
adopt,2.3324334146721353
innov,2.3324334146721353
transit,2.3324334146721353
power,2.3324334146721353
ga,2.3324334146721353
cleaner,2.3324334146721353
urban,2.2584497170448055
effici,2.2584497170448055
area,2.2584497170448055
particularli,2.2584497170448055
promot,2.2584497170448055
co,2.2584497170448055
sourc,2.2584497170448055
benefit,2.1844660194174756
largescal,1.6042780748663101
achiev,1.6042780748663101
futur,1.6042780748663101
truck,1.53029437723898
addit,1.53029437723898
health,1.53029437723898
lowcarbon,1.53029437723898
dioxid,1.53029437723898
footprint,1.53029437723898
cut,1.53029437723898
lifecycl,1.53029437723898
logist,1.53029437723898
buse,1.53029437723898
friendli,1.53029437723898
renew,1.53029437723898
deliveri,1.53029437723898
technolog,1.53029437723898
wind,1.53029437723898
citi,1.53029437723898
make,1.53029437723898
critic,1.53029437723898
minim,1.53029437723898
key,1.53029437723898
stricter,1.53029437723898
offer,1.53029437723898
commerci,1.53029437723898
